instrument,date,instrument_value,currency,value_type
MSCI Europe,1969-12-31,100.00,USD,gross
MSCI Europe,1970-01-30,99.23,USD,gross
MSCI Europe,1970-02-27,96.25,USD,gross
MSCI Europe,1970-03-31,97.56,USD,gross
MSCI Europe,1970-04-30,90.49,USD,gross
MSCI Europe,1970-05-29,85.76,USD,gross
MSCI Europe,1970-06-30,86.87,USD,gross
MSCI Europe,1970-07-31,91.10,USD,gross
MSCI Europe,1970-08-31,91.88,USD,gross
MSCI Europe,1970-09-30,92.98,USD,gross
MSCI Europe,1970-10-30,92.61,USD,gross
MSCI Europe,1970-11-30,88.47,USD,gross
MSCI Europe,1970-12-31,90.65,USD,gross
MSCI Europe,1971-01-29,94.61,USD,gross
MSCI Europe,1971-02-26,94.99,USD,gross
MSCI Europe,1971-03-31,98.22,USD,gross
MSCI Europe,1971-04-30,102.38,USD,gross
MSCI Europe,1971-05-31,105.31,USD,gross
MSCI Europe,1971-06-30,106.29,USD,gross
MSCI Europe,1971-07-30,111.21,USD,gross
MSCI Europe,1971-08-31,111.19,USD,gross
MSCI Europe,1971-09-30,109.09,USD,gross
MSCI Europe,1971-10-29,105.57,USD,gross
MSCI Europe,1971-11-30,108.57,USD,gross
MSCI Europe,1971-12-31,116.06,USD,gross
MSCI Europe,1972-01-31,123.07,USD,gross
MSCI Europe,1972-02-29,129.87,USD,gross
MSCI Europe,1972-03-31,133.59,USD,gross
MSCI Europe,1972-04-28,136.25,USD,gross
MSCI Europe,1972-05-31,138.66,USD,gross
MSCI Europe,1972-06-30,131.78,USD,gross
MSCI Europe,1972-07-31,138.79,USD,gross
MSCI Europe,1972-08-31,139.77,USD,gross
MSCI Europe,1972-09-29,131.66,USD,gross
MSCI Europe,1972-10-31,131.52,USD,gross
MSCI Europe,1972-11-30,135.17,USD,gross
MSCI Europe,1972-12-29,134.19,USD,gross
MSCI Europe,1973-01-31,134.90,USD,gross
MSCI Europe,1973-02-28,144.41,USD,gross
MSCI Europe,1973-03-30,148.57,USD,gross
MSCI Europe,1973-04-30,149.48,USD,gross
MSCI Europe,1973-05-31,151.76,USD,gross
MSCI Europe,1973-06-29,157.72,USD,gross
MSCI Europe,1973-07-31,149.43,USD,gross
MSCI Europe,1973-08-31,143.24,USD,gross
MSCI Europe,1973-09-28,146.41,USD,gross
MSCI Europe,1973-10-31,150.39,USD,gross
MSCI Europe,1973-11-30,127.76,USD,gross
MSCI Europe,1973-12-31,123.82,USD,gross
MSCI Europe,1974-01-31,123.76,USD,gross
MSCI Europe,1974-02-28,127.71,USD,gross
MSCI Europe,1974-03-29,122.65,USD,gross
MSCI Europe,1974-04-30,128.07,USD,gross
MSCI Europe,1974-05-31,118.28,USD,gross
MSCI Europe,1974-06-28,112.32,USD,gross
MSCI Europe,1974-07-31,111.24,USD,gross
MSCI Europe,1974-08-30,99.92,USD,gross
MSCI Europe,1974-09-30,90.36,USD,gross
MSCI Europe,1974-10-31,94.49,USD,gross
MSCI Europe,1974-11-29,94.77,USD,gross
